panel	participant	line	also_matches	pm	label
run 70	P-9	delivery-control core		28.0	Cluster orchestration core: watchdogs, tokens, unordered status store, resume, per-fax delivery control
run 70	P-9	cluster management		5.0	Cluster management tool (queues, node health, deployment across 16–20 nodes)
run 70	P-9	NOC		9.0	NOC: state of 10–20 remote PoPs, cluster, queues; agents + UI + alerting
run 70	P-9	portal		11.0	User portal: accounts, per-user delivery config, archive/search, admin
run 70	P-9	Tx parser		6.0	Inbound-email parser for Tx: MIME, attachments, addressing, sender auth, bounces, abuse
run 70	P-9	CDR		3.0	CDR / billing-data capture (billing itself excluded)
run 70	P-9	data layer / API		7.0	Data layer: DB schema, inter-component API, Lustre integration
run 70	P-9	old-system / reused integration		5.0	Integration with the reused pieces (PoP protocol, routing hand-off) and coexistence with v1 through the transition
run 70	P-9	real-stream / load testing	old-system / reused integration	12.0	Integration testing on the real stream + diff against the old system, load/burst rig to ~300/s
run 70	P-9	rollout / cutover		6.0	Production rollout, migration, stabilization to A2's Done
run 70	P-9	novelty tax		5.0	Uplift: domain-novelty rework tax spread through integration and stabilization (A3) — new (P-8, P-3)
run 70	P-9	PM		12.0	PM / coordination, derived from duration rather than as a share of engineering (P-5)
run 70	P-10	immersion		10.0	Domain immersion, architecture and technology selection (DHT and alternatives)
run 70	P-10	render workers	worker framework	4.0	Render worker harness: sandboxing, timeouts, process recycling, crash isolation
run 70	P-10	render workers	old-system / reused integration	9.0	Format integrations, 8–10 formats through the reused printer driver (A7)
run 70	P-10	OCR		5.0	OCR workers on the third-party library, PDF assembly, quality and throughput tuning
run 70	P-10	delivery-control core		24.0	Delivery-control core: watchdogs, tokens, unordered status store, resume, per-fax accounting
run 70	P-10	cluster management		5.0	Cluster management tooling: queue depth, node lifecycle, deployment across 16–20 nodes
run 70	P-10	NOC		9.0	NOC: collectors over 10–20 remote PoPs, cluster and queue state, alerting, console
run 70	P-10	portal		11.0	User portal: accounts, per-user TIFF/PDF configuration, archive and history, admin
run 70	P-10	Tx parser		6.0	Inbound email parser, Tx entry: MIME, attachments, number extraction, sender auth, bounces
run 70	P-10	Rx path		4.0	Rx path: intake from the PoPs, per-page TIFF vs converted-PDF branch, outbound mail with retries
run 70	P-10	CDR		3.0	CDR and billing-data capture (billing engine excluded)
run 70	P-10	data layer / API		7.0	Data layer: Lustre integration, DB schema, the inter-component API everything talks through
run 70	P-10	old-system / reused integration		6.0	Integration with the fixed external pieces (PoP protocol, routing hand-off) and coexistence with v1
run 70	P-10	rollout / cutover		5.0	Rollout, traffic migration, cutover, stabilization to the A2 bar
run 70	P-10	real-stream / load testing		12.0	Parity tests on the real stream against v1, plus the load rig to ~300/s
run 70	P-10	QA, separate line	worker framework	8.0	Dedicated QA outside the blocks and the harness: test design, regression suites, defect cycles (~7%)
run 70	P-10	PM		12.0	PM, scrum and release management — derived from duration, a seat held across ~20 calendar months
run 71	P-1	immersion		10.0	Domain immersion, architecture and technology selection (A1/A3, 1–2 calendar months)
run 71	P-1	delivery-control core		24.0	Cluster core: watchdogs, tokens, unordered status store, per-fax state, resume after failure (was 30 bundled)
run 71	P-1	burst hardening		6.0	Scale and burst hardening: 30/s sustained, ~300/s peak, failure survival on 2008 hardware (new, split out)
run 71	P-1	cluster management		5.0	Cluster management tooling: queue depth, node health, control across 16–20 nodes (was 6.5)
run 71	P-1	data layer / API		6.0	Storage and data layer: Lustre integration, schema, inter-component API
run 71	P-1	render workers	worker framework	13.0	Render workers: harness + 8–10 formats via the print-driver path (A7) (was 15)
run 71	P-1	OCR		6.0	OCR workers on a third-party library, searchable-PDF assembly, throughput
run 71	P-1	Rx path		8.0	Rx path: PoP intake, per-user TIFF-page vs PDF branch, mail composition and bulk delivery
run 71	P-1	Tx parser		6.0	Tx path: inbound-email parser, MIME and attachments, number extraction, sender checks, error replies
run 71	P-1	NOC		9.0	NOC: remote PoP state, cluster and queue state, alerting, operator console
run 71	P-1	portal		11.0	User portal
run 71	P-1	CDR		3.5	CDR / billing-data capture (billing engine excluded)
run 71	P-1	old-system / reused integration	rollout / cutover	7.0	Coexistence with v1 through the transition, cutover, rollout across 16–20 nodes and 10–20 sites (was 6)
run 71	P-1	real-stream / load testing		12.0	Integration tests on the real stream, result-for-result comparison with v1, burst-load rig
run 71	P-1	QA, separate line	real-stream / load testing	7.0	Dedicated QA beyond in-block testing: v1 comparison corpus, document-pathology set, cross-product regression (was 8, rescoped)
run 71	P-1	PM		12.0	PM, release engineering and cross-component coordination (~9%)
run 71	P-2	immersion		12.0	Domain immersion + architecture/technology selection (whole team ~1.5 months, per §6/A3)
run 71	P-2	render workers	OCR;Rx path;worker framework	5.0	Worker runtime/host framework, shared across render, OCR and Rx workers (revised, P-10)
run 71	P-2	render workers		10.0	Render formats: ~9 formats via the printer-driver path, incl. per-format stabilization (revised, P-10)
run 71	P-2	OCR		4.0	OCR workers on third-party library, searchable-PDF assembly
run 71	P-2	Rx path		8.0	Rx path: PoP intake, per-user TIFF-page vs PDF branch, mail composition and sending at volume, archive write
run 71	P-2	delivery-control core		24.0	Cluster orchestration: watchdogs, tokens, unordered status store, resume/retry, per-fax delivery guarantee
run 71	P-2	cluster management		5.0	Cluster management tooling (queue depth, node health, deployment across 16–20 nodes)
run 71	P-2	NOC		10.0	NOC (remote PoP state, cluster, queues, alerting, operator UI)
run 71	P-2	portal		11.0	User portal: accounts, delivery configuration, history and archive access, admin (revised, P-5)
run 71	P-2	Tx parser		6.0	Inbound-email parser for Tx, plus packaging and handoff to the existing router
run 71	P-2	CDR		4.0	CDR / billing-data capture (billing engine excluded)
run 71	P-2	data layer / API		7.0	DB schema + inter-component API, Lustre archive and working-file integration
run 71	P-2	old-system / reused integration		6.0	Coexistence and integration with v1 through the transition
run 71	P-2	burst hardening		8.0	Scale and burst hardening (30/s sustained, ~300/s peak, failure survival on 2008 hardware)
run 71	P-2	real-stream / load testing	worker framework	10.0	Integration-test harness on the real stream + result-for-result comparison against v1
run 71	P-2	QA, separate line		8.0	Dedicated QA beyond the share embedded in each block: document pathology corpus, cross-product regression, defect triage (held at 8, P-9)
run 71	P-2	rollout / cutover		6.0	Production rollout / cutover to A2's DoD, incl. remote-site deployment (revised)
run 71	P-2	PM		14.0	PM / coordination uplift (~10%)
run 71	P-3	immersion		11.0	Domain immersion, architecture and technology selection
run 71	P-3	render workers		13.0	Render workers: framework + 8–10 formats via the print-driver path (A7)
run 71	P-3	OCR		5.0	OCR workers (third-party library, TIFF→searchable PDF, throughput)
run 71	P-3	delivery-control core		22.0	Cluster core: watchdogs, tokens, unordered status store, per-fax state, resume after failure
run 71	P-3	burst hardening		5.0	Scale and burst hardening: 30/s sustained, ~300/s peak, failure survival on 2008 hardware
run 71	P-3	cluster management		5.0	Cluster management tool (queue depth, node health)
run 71	P-3	Rx path		7.0	Rx path: PoP intake, per-user TIFF-page vs PDF branch, mail composition and bulk send, archive write
run 71	P-3	NOC		8.0	NOC — remote PoP state, cluster state, queue state, alerting
run 71	P-3	portal		10.0	User portal
run 71	P-3	Tx parser		6.0	Inbound-email parser, Tx entry path
run 71	P-3	CDR		3.0	CDR and billing-data capture (billing engine excluded)
run 71	P-3	data layer / API		6.0	Storage and data layer: Lustre integration, schema, inter-component API
run 71	P-3	old-system / reused integration	rollout / cutover	8.0	Coexistence with v1 through the transition, rollout across 16–20 nodes and 10–20 sites, cutover to A2's DoD
run 71	P-3	real-stream / load testing		14.0	Integration tests on the real stream, result-for-result comparison against v1, load/burst rig
run 71	P-3	PM		9.0	Cross-cutting PM, release engineering, documentation
run 71	P-4	immersion		10.0	Domain immersion + architecture/technology selection (team-wide, 1-2 months calendar)
run 71	P-4	render workers		14.0	Render worker framework + 8-10 formats, incl. document-pathology tail
run 71	P-4	OCR		5.0	OCR workers on a third-party library, PDF assembly
run 71	P-4	delivery-control core		24.0	Cluster orchestration: watchdogs, tokens, state store, retry/failover
run 71	P-4	cluster management	rollout / cutover	5.0	Cluster management tool (queue depth, node health, rollout across 16-20 nodes)
run 71	P-4	NOC		9.0	NOC (remote PoP state, cluster, queues)
run 71	P-4	portal		10.0	User portal
run 71	P-4	Rx path		7.0	Rx path: PoP intake, per-user TIFF-page vs PDF branch, mail composition and bulk delivery
run 71	P-4	Tx parser		5.0	Inbound-email parser and the Tx path into the PoP handoff
run 71	P-4	CDR		3.0	CDR / billing-data capture (billing itself excluded)
run 71	P-4	data layer / API		6.0	DB + API plumbing between components, Lustre and storage integration
run 71	P-4	burst hardening		7.0	Scale and burst hardening to ~30/s sustained, ~300/s peak, on 2008 hardware
run 71	P-4	old-system / reused integration	rollout / cutover	8.0	Rollout, coexistence with v1, cutover and prod hardening
run 71	P-4	QA, separate line	rollout / cutover	31.0	Dedicated QA uplift, 32% of 98 (base excludes the burst and rollout lines, which are themselves verification): v1 comparison harness, load rigs, document corpus, regression
run 71	P-4	PM		13.0	PM / coordination uplift, 12% of 113
run 71	P-5	immersion		10.0	Domain immersion, architecture and technology selection (A3; DHT and alternatives)
run 71	P-5	render workers	worker framework	12.0	Render workers: harness, crash/timeout isolation, printer-driver path, 8–10 formats each stabilized (A7)
run 71	P-5	OCR		5.0	OCR workers, TIFF→searchable PDF assembly, third-party library integration and throughput tuning
run 71	P-5	delivery-control core		21.0	Cluster delivery-control core: watchdogs, token store over an unordered store, per-fax status, resume after node loss
run 71	P-5	burst hardening		6.0	Scale and burst hardening: ~30/s sustained, ~300/s peak, failure survival on 2008 hardware (A6)
run 71	P-5	cluster management	rollout / cutover	5.0	Cluster management tool: queue depth, node health, rollout across 16–20 nodes
run 71	P-5	Rx path		7.0	Rx path: PoP intake, per-user TIFF-page vs PDF branch, mail composition and sending at volume, archive write
run 71	P-5	NOC		9.0	NOC: state of 10–20 remote PoPs, cluster and queues, agents, alerting, operator UI
run 71	P-5	portal		10.0	User portal: accounts, delivery configuration, history, archive search, admin
run 71	P-5	Tx parser		6.0	Tx path: inbound-email parser (MIME, attachments, number extraction, bounces, sender auth, abuse), packaging and handoff to the PoP
run 71	P-5	CDR		3.0	CDR and billing-data capture (billing engine out)
run 71	P-5	data layer / API		7.0	Storage and data layer: Lustre integration, archive layout, DB schema, the inter-component API (§4)
run 71	P-5	old-system / reused integration		4.0	Integration seams with the reused components: PoP software, the least-cost router (A4)
run 71	P-5	real-stream / load testing		12.0	Integration tests on the real stream: result-for-result comparison harness against v1, load and burst rig
run 71	P-5	old-system / reused integration	rollout / cutover	8.0	Cutover to production and coexistence with v1 through the transition, to A2's Definition of Done
run 71	P-5	QA, separate line		9.0	Uplift: dedicated QA beyond in-block testing — document pathology corpus, cross-product regression, defect triage
run 71	P-5	PM		13.0	Uplift: PM, scrum coordination and release engineering (~10%)
run 71	P-6	immersion		10.0	Domain immersion + architecture/technology selection (ramping core group, 1–2 calendar months)
run 71	P-6	delivery-control core		21.0	Delivery-control core: watchdogs, tokens, unordered status store, per-fax state, resume after node loss, idempotency
run 71	P-6	cluster management		5.0	Cluster management tool (queue depth, node health, deployment across 16–20 nodes)
run 71	P-6	burst hardening		7.0	Scale and burst hardening: qualification to ~30/s sustained and ~300/s peak, failure survival, on 2008 hardware
run 71	P-6	render workers	worker framework	13.0	Render workers: harness + printer-driver path + 8–10 formats, each stabilized separately (A7)
run 71	P-6	OCR		5.0	OCR workers + searchable-PDF assembly, throughput tuning
run 71	P-6	Rx path		9.0	Rx path: PoP intake, per-user page-wise-TIFF vs PDF branch, mail composition and bulk send at volume, archive write
run 71	P-6	Tx parser		7.0	Tx path: inbound-email parser, MIME and attachments, number extraction, abuse/bounce, packaging and handoff to the existing router
run 71	P-6	NOC		10.0	NOC: remote PoP state, cluster, queues, agents, alerting, operator UI
run 71	P-6	portal		11.0	User portal: accounts, delivery configuration, history and archive access, admin
run 71	P-6	CDR		4.0	CDR / billing-data capture (billing engine excluded)
run 71	P-6	data layer / API		9.0	Storage and data layer: Lustre integration, DB schema, inter-component API, PoP/routing seams
run 71	P-6	real-stream / load testing		16.0	Integration test on the real stream: result-for-result comparison harness against v1, document corpus, burst-load rig
run 71	P-6	old-system / reused integration	rollout / cutover	7.0	Coexistence with v1 through the transition, rollout across sites, cutover and production stabilization to A2's DoD
run 71	P-6	PM		12.0	PM, scrum coordination, release engineering
run 71	P-7	immersion		10.0	Domain immersion, architecture and technology selection (§6/A1, ~1–2 months calendar)
run 71	P-7	render workers	worker framework	13.0	Render workers: harness plus 8–10 formats via the printer-driver path (A7, ~1.2 each)
run 71	P-7	OCR		5.0	OCR workers on a third-party library: pipeline, tuning, PDF assembly
run 71	P-7	delivery-control core		22.0	Cluster delivery control: watchdogs, tokens, unordered status store, resume-after-failure, idempotency
run 71	P-7	cluster management		5.0	Cluster management tool: queue depths, node state, control actions
run 71	P-7	NOC		10.0	NOC: remote PoP state, cluster state, queues, alerting
run 71	P-7	portal		12.0	User portal: accounts, per-user delivery configuration, history and archive access
run 71	P-7	Rx path		7.0	Rx path: PoP intake, TIFF-page vs PDF branch, mail composition and bulk delivery
run 71	P-7	Tx parser		6.0	Inbound email parser, Tx entry: MIME, attachments, number extraction, bounces, abuse
run 71	P-7	CDR		4.0	CDR and billing-data capture (billing engine excluded)
run 71	P-7	data layer / API		8.0	Storage and data layer: Lustre integration, schema, the inter-component API
run 71	P-7	burst hardening		7.0	Burst and scale hardening to ~30/s sustained and ~300/s peak on 2008 hardware (5 → 7)
run 71	P-7	real-stream / load testing		12.0	Integration tests on the real stream, result comparison against v1, coexistence seams
run 71	P-7	rollout / cutover		6.0	Production rollout, migration and stabilization to A2's Definition of Done
run 71	P-7	QA, separate line	worker framework	20.0	Dedicated QA beyond the in-block stabilization and the harness line: document corpus, cross-product regression, defect triage, load rigs — 18% of the build subtotal (was 25%)
run 71	P-7	PM		15.0	PM, release management and coordination, 12% of the engineering subtotal
run 71	P-8	immersion		11.0	Domain immersion, architecture and technology selection (whole team, ~1.5 months)
run 71	P-8	render workers	worker framework	4.0	Render worker harness (job pickup, crash/timeout isolation on the Windows cluster)
run 71	P-8	PM	render workers	9.0	Render formats: ~9 formats through the print-driver path, ~1 pm each (A7)
run 71	P-8	OCR		5.0	OCR workers on a third-party library, searchable-PDF assembly, throughput tuning
run 71	P-8	delivery-control core		20.0	Cluster core: watchdogs + tokens over an unordered store, per-fax status, resume, idempotency, retries
run 71	P-8	burst hardening		6.0	Scale and burst hardening to ~30/s sustained and ~300/s peak, failure survival (A6)
run 71	P-8	cluster management	rollout / cutover	5.0	Cluster management tool (queue depths, node control, rollout across 16–20 nodes)
run 71	P-8	NOC		9.0	NOC: agents on 10–20 remote PoPs, cluster and queue state, alerting, operator UI
run 71	P-8	portal		10.0	User portal: accounts, TIFF-page vs PDF configuration, history and archive access, admin
run 71	P-8	Tx parser		6.0	Inbound-email parser, Tx entry (SMTP, MIME, number extraction, sender auth, bounces, abuse)
run 71	P-8	Rx path		7.0	Rx path: PoP intake, per-user assembly, mail composition and sending at volume, archive write
run 71	P-8	CDR		3.0	CDR / billing-data capture (billing engine excluded)
run 71	P-8	data layer / API		7.0	Storage and data layer: Lustre archive and working files, DB schema, the inter-component API
run 71	P-8	old-system / reused integration		6.0	Integration with the existing PoP software and routing; coexistence with v1 through the transition
run 71	P-8	real-stream / load testing		16.0	Integration testing on the real stream, result-for-result comparison against the old system, load/burst rig
run 71	P-8	rollout / cutover		6.0	Cutover and production rollout across the cluster and the remote sites, to A2's Definition of Done
run 71	P-8	PM		13.0	Uplift: PM, coordination and release management beyond what the blended blocks absorb (~10%)
run 71	P-9	immersion		10.0	Domain immersion, architecture and technology selection (whole team ramping, 1–2 calendar months)
run 71	P-9	delivery-control core		22.0	Delivery-control core: watchdogs, tokens, unordered status store, per-fax state, resume after node loss (construction only)
run 71	P-9	burst hardening		6.0	Scale and burst qualification across the pipeline: 30/s sustained, ~300/s peak, failure survival on 2008 hardware — sized net of line 2
run 71	P-9	cluster management	rollout / cutover	6.0	Cluster management tool (queue depth, node health, control and rollout across 16–20 nodes)
run 71	P-9	render workers		13.0	Render workers: worker framework + 8–10 formats via the print-driver path, each stabilized separately
run 71	P-9	OCR		5.0	OCR workers on a third-party library, TIFF→searchable PDF, throughput tuning
run 71	P-9	Rx path		8.0	Rx path: PoP intake, per-user page-wise TIFF vs PDF, mail composition and sending at volume, archive write
run 71	P-9	Tx parser		7.0	Tx path: inbound-mail parser (MIME, attachments, number extraction, error replies), packaging and dispatch to the existing router
run 71	P-9	data layer / API		8.0	Storage and data layer: Lustre integration, archive layout, DB schema, the inter-component API
run 71	P-9	NOC		10.0	NOC: state of 10–20 remote PoPs, cluster and queues, agents, alerting, operator UI
run 71	P-9	portal		12.0	User portal: accounts, delivery configuration, history and archive access, admin
run 71	P-9	CDR		3.0	CDR / billing-data capture (billing engine excluded)
run 71	P-9	real-stream / load testing		12.0	Integration tests on the real stream, result-for-result comparison harness against v1, load and burst rig
run 71	P-9	old-system / reused integration	rollout / cutover	6.0	Coexistence with v1 through the transition, rollout across sites, cutover to the A2 Definition of Done
run 71	P-9	QA, separate line		8.0	Uplift: dedicated QA beyond in-block testing — document pathology corpus, cross-product regression, defect triage
run 71	P-9	PM		13.0	Uplift: PM, scrum coordination, release engineering (~10%)
run 71	P-10	immersion		11.0	Domain immersion + architecture/technology selection (~1–2 calendar months, ramping team)
run 71	P-10	delivery-control core		24.0	Delivery-control core: watchdogs, tokens, unordered status store, per-fax state, resume after node loss
run 71	P-10	cluster management		5.0	Cluster management tool: queue depth, node health, deployment across 16–20 nodes
run 71	P-10	burst hardening		8.0	Scale and burst hardening: 30/s sustained, ~300/s peak, failure survival on 2008 hardware
run 71	P-10	render workers	worker framework	13.0	Render workers: harness + 8–10 formats via the print-driver path (A7)
run 71	P-10	OCR		5.0	OCR workers on a third-party library: integration, quality tuning, throughput
run 71	P-10	Rx path		9.0	Rx path: PoP intake, per-user page-wise TIFF vs PDF, mail composition and sending at volume, archive write
run 71	P-10	Tx parser		7.0	Tx path: inbound-email parser, MIME and attachments, number extraction, sender auth/abuse, error replies, dispatch
run 71	P-10	NOC		10.0	NOC: remote PoP state, cluster and queue state, agents, alerting
run 71	P-10	portal		11.0	User portal: accounts, delivery configuration, history and archive access, admin
run 71	P-10	CDR		4.0	CDR / billing-data capture (billing engine excluded)
run 71	P-10	data layer / API		8.0	Storage and data layer: Lustre integration, schema, inter-component API
run 71	P-10	real-stream / load testing		12.0	Integration tests on the real stream, result comparison against v1, load/burst rig
run 71	P-10	old-system / reused integration	rollout / cutover	6.0	Coexistence with the old system through the transition, cutover to the A2 Definition of Done
run 71	P-10	PM		10.0	PM, release/build engineering, cross-component coordination
run 71	P-10	QA, separate line		5.0	System-level QA beyond in-block testing: document-pathology corpus, cross-product regression suite (new, P-9/P-1/P-2)
run 71	P-10	glue / omissions		0.0	Blanket risk or friction uplift
